Matricula	DESCRIPCION	Precio	Cantidad
5466606	PLANCHA DE COBRE P.LINEA A TIERRA C.AGUJERO 20MM DIAM.	50	100.00
5111218	EMPALME DERECHO DERIVACION UNIPOLAR AUTOFUNDENTE P.CABLE SECO 6-120 / 10-120MM2 CONEX. MONOFASICA BT	50	100.00
5411052	CONEC.CUÑA.TP.UDC.REF.CU.16/16MM2   25/10MM2	50	100.00
5411011	CONECTOR DERIV.TP.CUÑA MINIW. AA 16/CU 10 MM2.	50	100.00
1035714	TUBO PVC TP. SAP P. INST. ELECT.  1"   DIAM.	50	100.00
1035718	TUBO PVC TP. SAP P. INST. ELECT.  2" DIAM.	50	100.00
5022006	CABLE CONCENTRICO BIPOLAR DE COBRE 6MM2 P.ACOMETIDA MONOFASICA EN RED BAJA TENSION	50	100.00
5031175	CABLE DE ENERGIA TRIPOLAR TIPO N2XY 3 - 1 X 16MM2 0,6 / 1KV	50	100.00
5031178	CABLE DE ENERGIA TRIPOLAR TIPO N2XY 3 - 1 X 70MM2 0,6 / 1KV	50	100.00
5111267	EMPALME DERECHO DERIVACION SIMETRICO UNIPOLAR AUTOFUNDENTE P.CABLE SECO 240-300 / 70-300MM2 B.T.	50	100.00
5112876	CONECTOR MECANICO EN DERIVACION DE ALEACION DE ALUMINIO P.CABLES DE ALUMINIO 240-300/70-300MM2, B.T	50	100.00
5411050	CONEC.CUÑA.TP.UDC.REF.CU.25-35/16-25MM2.	50	100.00
5567061	LUMINARIA LED P.VIAS COLECTORAS TIPO ALUMBRADO III, 220V, 60HZ, CLASE II, PREPARADA PARA TELEGESTION	50	100.00
5464501	SOPORTE FIN DE LINEA LIVIANO AC.GALV.     SAE 1020	50	100.00
5347015	PASTORAL DE ACERO GALV. PS / 0,275 / 1,17 / 1 1/2" ANG. 0 GRADOS	50	100.00
5114191	CINTA AISLANTE TERMOPLASTICA DE PVC DE 19MM X 18,3	50	100.00
5134557	CINTA AISLANTE MASTIC DE GOMA AUTOFUNDENTE C.SOPORTE DE PVC 102MM X 3M X 2,29MM 600V COLOR NEGRO	50	100.00
5111180	EMPALME TERMOCONTRAIBLE UNIPOLAR DERECHO/DERIVACION P. CABLE SECO B.T. 6-16/6-16 MM2.	50	100.00
1035712	TUBO DE PVC TIPO SAP DE 3/4" / 20MM DIAM.P.INSTALACION ELECTRICA	50	100.00
5111188	EMPALME TERMOCONTRAIBLE UNIPOLAR DERECHO/DERIVACION P. CABLE SECO B.T. 300/10-300 MM2.	50	100.00
5111587	EMPALME DERECHO - DERIVACION ASIMETRICO AUTOFUNDENTE P.CABLE NKY / CABLE SECO 6-16 / 6-16MM2 B.T.	50	100.00
5484222	TEMPLADOR P. ACOMETIDA DOMICILIARIA L.A./B.T. TRIP	50	100.00
5023744	CABLE DE ENERGIA AUTOPORTANTE TIPO CAAI-S VW-1 3X35+1X16 MM2 PARA REDES AEREAS B.T.	50	100.00
5411062	CONEC.CUÑA.TP.UDC.REF.CU.35/35MM2   50/16-35MM2   70/25MM2	50	100.00
5022004	CABLE CONCENTRICO BIPOLAR DE COBRE 4MM2 P.ACOMETIDA MONOFASICA EN RED BAJA TENSION	50	100.00
5567146	LUM.LED TP.IV,220V,60HZ,CL.II,SIN TELEG.	50	100.00
5329301	ZAPATA DE CONCRETO DE 400 MMD. P. VIENTO	50	100.00
5467101	BARRA C.OJO (VARILLA DOBLADA SOLDADA) DE ANCLAJE DE ACERO GALV. 5/8" X 2400MM C.ACCESORIOS P.VIENTO	50	100.00
